*************** Q table for run 0 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.548	-2.472	-2.500	-2.500
1		0		1		|	-2.587	-2.579	-2.510	-2.500
2		0		2		|	-2.425	-2.410	-2.442	-2.479
3		0		3		|	-2.072	-1.416	-2.125	-2.089
4		0		4		|	-1.710	-1.777	-1.736	-1.691
5		0		5		|	-1.348	-1.353	-1.387	-1.283
6		0		6		|	-1.067	-1.066	-1.041	-1.000
7		0		7		|	-0.835	-0.959	-0.851	-0.791
8		0		8		|	-0.762	-0.784	-0.750	-0.700
9		0		9		|	-0.782	-0.782	-0.715	-0.700
10		1		0		|	-2.561	-2.475	-2.494	-2.475
11		1		1		|	-2.553	-2.513	-2.563	-2.681
12		1		2		|	1.012	-2.058	-2.593	-2.588
13		1		3		|	-2.096	2.861	-2.110	-2.131
14		1		4		|	-1.663	-1.674	-1.466	-1.702
15		1		5		|	-1.273	-1.263	-1.314	-1.236
16		1		6		|	-0.983	-0.947	-1.028	-0.921
17		1		7		|	-0.831	-0.815	-0.860	-0.816
18		1		8		|	-0.765	-0.678	-0.717	-0.718
19		1		9		|	-0.787	-0.755	-0.700	-0.708
20		2		0		|	-2.407	-2.456	-2.393	-2.456
21		2		1		|	1.415	-2.669	-2.614	-2.606
22		2		2		|	3.000	1.036	-0.502	-1.191
23		2		3		|	1.497	4.000	1.726	-0.154
24		2		4		|	-1.445	4.011	-1.542	-1.518
25		2		5		|	-0.931	-0.781	-0.956	-0.956
26		2		6		|	-0.666	-0.206	-0.652	-0.644
27		2		7		|	-0.586	-0.645	-0.636	-0.657
28		2		8		|	-0.604	-0.579	-0.602	-0.532
29		2		9		|	-0.590	-0.664	-0.600	-0.632
30		3		0		|	-2.202	-2.197	-2.200	-2.242
31		3		1		|	-0.608	-2.119	-2.300	-2.135
32		3		2		|	-0.791	3.869	-2.111	-1.919
33		3		3		|	3.052	5.000	1.936	2.578
34		3		4		|	-0.852	5.899	0.395	-0.985
35		3		5		|	-0.540	1.898	-0.536	-0.552
36		3		6		|	-0.290	2.895	-0.309	-0.310
37		3		7		|	-0.400	-0.443	-0.195	-0.444
38		3		8		|	-0.494	-0.481	-0.492	-0.410
39		3		9		|	-0.500	-0.572	-0.499	-0.527
40		4		0		|	-1.777	-1.745	-1.891	-1.845
41		4		1		|	-1.069	-1.643	-1.608	-1.658
42		4		2		|	4.997	-0.403	-1.468	-0.925
43		4		3		|	5.512	6.000	3.525	3.541
44		4		4		|	1.816	6.999	1.707	0.362
45		4		5		|	-0.190	7.404	0.403	-0.158
46		4		6		|	-0.272	8.926	-0.100	-0.147
47		4		7		|	-0.300	-0.240	1.424	-0.321
48		4		8		|	-0.389	-0.307	-0.381	-0.410
49		4		9		|	-0.400	-0.388	-0.474	-0.427
50		5		0		|	-1.425	-1.399	-1.398	-1.473
51		5		1		|	-0.493	-1.238	-1.222	-1.250
52		5		2		|	5.463	-0.899	-1.145	-0.414
53		5		3		|	7.000	4.486	3.049	3.812
54		5		4		|	8.000	7.115	5.791	4.564
55		5		5		|	9.000	8.490	6.303	4.001
56		5		6		|	3.971	10.000	6.944	7.404
57		5		7		|	-0.300	6.861	-0.100	-0.138
58		5		8		|	-0.300	-0.209	-0.271	-0.210
59		5		9		|	-0.300	-0.300	-0.282	-0.301
60		6		0		|	-1.143	-1.110	-1.282	-1.231
61		6		1		|	-0.988	-1.020	-1.035	-0.996
62		6		2		|	0.155	-0.661	-0.746	-0.663
63		6		3		|	7.262	-0.435	-0.532	0.307
64		6		4		|	8.952	-0.232	1.927	1.249
65		6		5		|	10.000	0.047	0.000	0.000
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.100	-0.100	9.477	0.000
68		6		8		|	-0.299	-0.200	0.332	-0.100
69		6		9		|	-0.200	-0.299	-0.281	-0.200
70		7		0		|	-0.943	-0.866	-0.900	-0.971
71		7		1		|	-0.830	-0.835	-0.825	-0.860
72		7		2		|	-0.618	-0.688	-0.648	-0.635
73		7		3		|	-0.371	-0.400	-0.418	0.831
74		7		4		|	-0.271	-0.210	-0.219	1.906
75		7		5		|	-0.100	-0.100	-0.100	2.341
76		7		6		|	-0.100	-0.100	-0.100	0.000
77		7		7		|	-0.110	-0.100	-0.100	0.090
78		7		8		|	-0.200	-0.209	-0.190	-0.200
79		7		9		|	-0.290	-0.200	-0.281	-0.200
80		8		0		|	-0.796	-0.786	-0.700	-0.806
81		8		1		|	-0.748	-0.697	-0.674	-0.721
82		8		2		|	-0.655	-0.601	-0.610	-0.629
83		8		3		|	-0.463	-0.400	-0.419	-0.492
84		8		4		|	-0.290	-0.309	-0.310	-0.281
85		8		5		|	-0.200	-0.210	-0.200	-0.238
86		8		6		|	-0.200	-0.210	-0.200	-0.100
87		8		7		|	-0.200	-0.200	-0.200	-0.100
88		8		8		|	-0.190	-0.200	-0.200	-0.200
89		8		9		|	-0.200	-0.200	-0.190	-0.200
90		9		0		|	-0.779	-0.793	-0.799	-0.839
91		9		1		|	-0.667	-0.600	-0.802	-0.613
92		9		2		|	-0.504	-0.600	-0.607	-0.602
93		9		3		|	-0.473	-0.400	-0.411	-0.399
94		9		4		|	-0.390	-0.300	-0.391	-0.300
95		9		5		|	-0.290	-0.300	-0.300	-0.298
96		9		6		|	-0.290	-0.200	-0.290	-0.200
97		9		7		|	-0.200	-0.200	-0.281	-0.200
98		9		8		|	-0.200	-0.200	-0.200	-0.200
99		9		9		|	-0.200	-0.200	-0.200	-0.200

*************** Q table for run 1 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.367	-2.323	-2.290	-2.300
1		0		1		|	-2.373	-2.346	-2.330	-2.376
2		0		2		|	-2.330	-1.896	-2.298	-2.300
3		0		3		|	-2.070	-2.054	-2.135	-2.094
4		0		4		|	-1.729	-1.696	-1.689	-1.700
5		0		5		|	-1.368	-1.417	-1.376	-1.390
6		0		6		|	-1.150	-1.145	-1.125	-1.100
7		0		7		|	-0.998	-0.977	-1.000	-1.000
8		0		8		|	-0.936	-0.961	-0.873	-0.900
9		0		9		|	-0.900	-0.846	-0.933	-0.900
10		1		0		|	-2.363	-2.418	-2.400	-2.336
11		1		1		|	-2.374	-2.365	-2.454	-2.404
12		1		2		|	-2.421	1.604	-2.485	-2.574
13		1		3		|	-2.127	2.497	-2.014	-2.145
14		1		4		|	-1.558	-0.974	-1.640	-1.610
15		1		5		|	-1.215	0.324	-1.258	-1.229
16		1		6		|	-0.987	-0.994	-1.023	-1.031
17		1		7		|	-0.837	-0.915	-0.882	-0.931
18		1		8		|	-0.774	-0.769	-0.859	-0.829
19		1		9		|	-0.791	-0.741	-0.732	-0.825
20		2		0		|	-2.306	-2.342	-2.385	-2.317
21		2		1		|	1.743	-2.515	-2.503	-2.430
22		2		2		|	3.000	2.199	0.036	-0.329
23		2		3		|	1.752	4.000	1.620	0.447
24		2		4		|	4.834	-1.336	-0.904	-1.343
25		2		5		|	-0.661	5.996	-0.906	-1.047
26		2		6		|	-0.657	2.280	-0.782	-0.751
27		2		7		|	-0.654	-0.652	-0.686	-0.743
28		2		8		|	-0.696	-0.669	-0.600	-0.642
29		2		9		|	-0.691	-0.657	-0.631	-0.727
30		3		0		|	-2.161	-2.067	-2.075	-2.008
31		3		1		|	-1.152	-2.051	-2.116	-2.127
32		3		2		|	3.972	-2.071	-2.067	-2.013
33		3		3		|	5.000	2.738	2.281	2.638
34		3		4		|	6.000	5.111	3.396	2.740
35		3		5		|	5.832	7.000	4.455	4.529
36		3		6		|	-0.384	7.815	0.806	-0.378
37		3		7		|	-0.500	-0.455	-0.451	-0.560
38		3		8		|	-0.582	-0.558	-0.583	-0.525
39		3		9		|	-0.500	-0.565	-0.599	-0.536
40		4		0		|	-1.777	-1.721	-1.697	-1.731
41		4		1		|	-1.644	-1.664	-1.692	-1.665
42		4		2		|	-0.953	-1.432	-1.431	-1.507
43		4		3		|	5.389	-0.988	-1.237	-0.929
44		4		4		|	6.994	0.590	0.400	1.263
45		4		5		|	7.261	8.000	5.128	5.621
46		4		6		|	-0.384	8.998	1.161	2.087
47		4		7		|	-0.401	-0.281	1.545	-0.341
48		4		8		|	-0.400	-0.397	-0.389	-0.517
49		4		9		|	-0.400	-0.478	-0.400	-0.434
50		5		0		|	-1.451	-1.406	-1.393	-1.408
51		5		1		|	-1.280	-1.318	-1.325	-1.308
52		5		2		|	-0.993	-1.026	-1.070	-1.062
53		5		3		|	0.494	-0.589	-0.657	-0.558
54		5		4		|	7.635	-0.297	-0.348	0.933
55		5		5		|	9.000	8.397	5.379	6.444
56		5		6		|	4.273	10.000	7.496	6.465
57		5		7		|	-0.200	7.178	1.629	-0.110
58		5		8		|	-0.301	-0.210	-0.200	-0.319
59		5		9		|	-0.300	-0.299	-0.373	-0.319
60		6		0		|	-1.079	-1.128	-1.100	-1.158
61		6		1		|	-0.960	-0.996	-1.018	-0.920
62		6		2		|	-0.413	-0.650	-0.622	-0.677
63		6		3		|	2.352	-0.401	-0.439	-0.325
64		6		4		|	6.481	-0.100	0.017	-0.100
65		6		5		|	9.948	0.000	1.305	0.959
66		6		6		|	0.000	0.000	0.000	0.000
67		6		7		|	-0.174	-0.100	9.576	0.229
68		6		8		|	-0.200	-0.110	1.322	-0.100
69		6		9		|	-0.290	-0.299	-0.200	-0.200
70		7		0		|	-0.885	-0.953	-0.900	-0.903
71		7		1		|	-0.843	-0.849	-0.779	-0.768
72		7		2		|	-0.615	-0.667	-0.609	-0.647
73		7		3		|	-0.370	-0.408	-0.403	-0.134
74		7		4		|	-0.190	-0.200	-0.210	0.309
75		7		5		|	-0.100	-0.100	-0.100	0.646
76		7		6		|	-0.100	-0.100	-0.100	1.000
77		7		7		|	-0.200	-0.209	-0.100	-0.100
78		7		8		|	-0.200	-0.200	-0.200	-0.199
79		7		9		|	-0.200	-0.290	-0.190	-0.190
80		8		0		|	-0.859	-0.786	-0.791	-0.827
81		8		1		|	-0.731	-0.694	-0.790	-0.734
82		8		2		|	-0.622	-0.599	-0.612	-0.640
83		8		3		|	-0.553	-0.400	-0.404	-0.401
84		8		4		|	-0.363	-0.318	-0.317	-0.351
85		8		5		|	-0.290	-0.201	-0.200	-0.190
86		8		6		|	-0.290	-0.200	-0.200	-0.190
87		8		7		|	-0.300	-0.200	-0.281	-0.200
88		8		8		|	-0.209	-0.209	-0.300	-0.290
89		8		9		|	-0.200	-0.200	-0.282	-0.200
90		9		0		|	-0.672	-0.700	-0.699	-0.738
91		9		1		|	-0.742	-0.600	-0.593	-0.623
92		9		2		|	-0.563	-0.600	-0.618	-0.622
93		9		3		|	-0.463	-0.400	-0.429	-0.400
94		9		4		|	-0.374	-0.400	-0.310	-0.392
95		9		5		|	-0.209	-0.300	-0.300	-0.209
96		9		6		|	-0.200	-0.200	-0.200	-0.200
97		9		7		|	-0.200	-0.200	-0.190	-0.200
98		9		8		|	-0.200	-0.200	-0.200	-0.210
99		9		9		|	-0.200	-0.200	-0.190	-0.200

*************** Q table for run 2 ***************
State#	Xcoord	Ycoord	|	North	East	South	West
0		0		0		|	-2.363	-2.436	-2.390	-2.400
1		0		1		|	-2.389	-2.464	-2.365	-2.391
2		0		2		|	-2.331	-2.376	-2.328	-2.300
