Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,Run4steps,Run5steps,Run6steps,Run7steps,Run8steps,Run9steps,
0,95,100,100,100,100,100,100,100,100,97,
1,14,14,28,14,80,12,24,60,12,26,
2,36,29,16,37,31,31,18,24,50,33,
3,22,10,10,12,10,14,27,22,10,12,
4,100,14,8,100,12,18,10,10,8,12,
5,100,24,12,40,50,100,14,100,12,100,
6,100,100,78,42,100,100,40,100,12,100,
7,89,34,100,100,74,100,100,67,58,100,
8,56,100,100,38,100,24,100,59,71,40,
9,20,93,100,54,16,100,24,38,100,67,
10,33,100,100,100,72,50,34,100,100,89,
11,16,38,100,100,100,100,100,29,82,37,
12,91,46,91,100,100,18,35,100,100,100,
13,100,100,47,100,100,100,100,52,79,83,
14,80,45,87,44,10,100,100,100,57,40,
15,66,100,100,60,95,51,53,100,46,100,
16,95,76,100,62,100,69,52,12,100,100,
17,51,63,37,100,74,57,31,65,83,100,
18,81,100,10,45,18,100,100,100,98,100,
19,100,63,69,100,36,31,52,100,100,12,
20,56,70,87,36,48,100,100,43,41,80,
21,16,15,93,42,100,71,10,46,48,62,
22,62,32,34,37,100,24,34,31,45,51,
23,100,100,12,100,85,100,56,82,83,100,
24,84,77,89,28,45,69,30,46,56,29,
25,48,53,53,82,73,54,100,100,31,14,
26,33,68,100,30,73,53,97,14,84,29,
27,90,100,16,50,18,57,38,94,15,92,
28,69,8,30,45,57,32,95,44,73,22,
29,49,72,8,100,40,43,72,20,32,100,
30,14,16,52,32,67,37,71,10,34,55,
31,8,18,100,78,8,34,49,100,26,10,
32,32,87,50,21,90,69,31,58,100,22,
33,100,31,44,24,25,10,46,30,98,78,
34,63,14,39,74,75,100,25,21,26,8,
35,12,77,22,47,18,56,34,72,14,59,
36,28,62,55,8,8,20,14,56,20,45,
37,12,41,32,70,43,38,100,14,31,15,
38,14,30,26,17,90,35,10,12,18,8,
39,21,37,16,17,76,25,12,18,19,40,
40,50,38,87,100,18,23,16,52,34,66,
41,45,27,48,14,28,38,10,16,10,10,
42,42,83,74,21,20,50,16,8,54,22,
43,76,16,29,63,83,71,12,17,49,46,
44,53,56,27,99,30,12,87,77,38,46,
45,12,14,18,36,36,12,20,72,30,38,
46,8,19,10,23,36,14,58,58,30,20,
47,12,55,27,67,18,35,32,22,53,51,
48,54,18,59,10,8,23,44,20,8,31,
49,12,12,14,20,14,22,28,23,25,12,
50,10,8,82,14,16,47,31,92,45,56,
51,30,81,10,43,21,21,33,65,8,14,
52,12,20,8,28,70,21,12,42,26,36,
53,8,18,21,10,72,73,38,16,12,18,
54,36,60,12,45,8,49,83,14,45,25,
55,61,63,46,12,47,43,38,10,55,16,
56,35,25,43,41,45,30,43,20,41,24,
57,92,39,10,63,44,20,12,28,33,33,
58,16,26,16,12,8,14,8,70,43,59,
59,16,10,8,16,44,8,25,8,25,12,
60,54,20,40,100,12,22,23,19,21,34,
61,14,35,100,34,12,49,14,8,8,22,
62,12,10,49,8,14,20,29,10,8,61,
63,12,58,10,28,21,43,46,57,81,10,
64,71,8,8,26,21,27,30,23,12,21,
65,18,18,24,8,79,60,19,18,13,29,
66,10,20,20,19,27,68,10,45,24,37,
67,41,14,28,19,8,10,21,35,25,16,
68,20,14,45,14,16,24,10,30,8,10,
69,42,23,18,18,8,8,10,8,28,12,
70,16,26,10,17,18,50,47,38,8,10,
71,54,8,33,8,24,8,56,28,19,10,
72,10,34,18,21,12,50,8,16,30,35,
73,20,14,21,58,10,10,12,20,39,10,
74,10,15,50,24,34,8,20,16,18,24,
75,12,10,10,8,41,47,21,27,10,58,
76,43,85,10,25,10,14,10,10,18,44,
77,10,8,8,61,27,10,49,40,20,10,
78,29,10,8,8,18,14,12,10,10,8,
79,10,12,47,8,8,10,14,10,29,52,
80,8,40,41,31,10,45,36,28,20,22,
81,18,8,28,30,42,20,12,8,12,28,
82,8,10,17,24,24,8,10,8,8,10,
83,21,96,10,29,14,8,47,46,22,14,
84,14,16,30,10,22,38,8,16,13,47,
85,33,8,16,24,8,15,41,50,8,34,
86,14,30,12,8,10,27,10,10,22,8,
87,10,20,22,10,40,12,8,31,44,8,
88,21,8,8,31,10,8,39,8,10,62,
89,8,8,10,16,10,10,10,10,8,10,
90,16,12,10,8,10,12,15,8,10,25,
91,14,41,30,25,8,10,26,21,28,15,
92,45,8,24,8,34,28,72,36,49,8,
93,18,10,21,10,21,12,8,8,16,14,
94,15,8,15,14,10,14,16,10,32,10,
95,12,18,8,8,26,8,16,10,61,16,
96,14,22,12,61,8,8,31,16,12,8,
97,8,12,8,8,14,26,12,8,22,8,
98,16,8,8,8,18,21,8,10,10,12,
99,14,8,84,23,8,10,16,12,8,8,
100,10,8,10,10,80,10,8,10,21,44,
101,28,34,10,18,10,8,20,22,18,10,
102,10,22,8,34,12,8,15,8,8,22,
103,8,10,20,8,8,30,8,12,8,8,
104,10,8,8,12,16,8,17,20,10,12,
105,8,12,33,8,8,10,8,12,18,8,
106,8,39,24,8,25,8,8,8,24,56,
107,14,8,8,10,10,25,10,44,8,8,
108,8,8,23,19,14,8,19,8,10,8,
109,10,10,8,10,51,8,44,8,8,14,
110,10,8,16,8,10,8,16,10,29,8,
111,8,10,8,8,8,14,12,36,39,8,
112,68,10,10,44,24,8,8,16,10,10,
113,12,8,8,8,12,8,16,12,8,8,
114,8,8,10,8,12,12,12,8,16,8,
115,8,8,8,8,8,12,12,10,12,10,
116,17,8,8,8,26,14,10,8,14,8,
117,8,8,8,28,8,8,8,10,8,8,
118,8,8,8,8,8,8,34,8,12,8,
119,10,12,8,10,14,10,8,10,10,8,
120,8,8,8,8,8,10,8,8,47,8,
121,10,8,8,12,10,10,25,10,8,8,
122,8,10,14,8,14,8,50,8,8,8,
123,8,8,10,8,8,8,8,8,12,8,
124,8,8,8,8,8,8,10,10,10,8,
125,8,8,10,10,8,8,12,12,12,8,
126,10,10,8,8,10,10,16,12,25,8,
